br br
pau pau
R pau
sil sil
a a
ai ai
an an
ang ang
ao ao
e e
e0 e0
ei ei
en en
en0 en0
eng eng
er er
i i
in in
ing ing
i0 i0
ir ir
o o
ong ong
ou ou
u u
v0 v0
vn vn
ba b a
bai b ai
ban b an
bang b ang
bao b ao
be b e
be0 b e0
bei b ei
ben b en
ben0 b en0
beng b eng
ber b er
bong b ong
bou b ou
bv0 b v0
bvn b vn
bia by a
bya by a
byai by ai
byan by an
biang by ang
byang by ang
biao by ao
byao by ao
bye by e
bie by e0
bie0 by e0
bye0 by e0
byei by ei
bien by en
byen by en
bian by en0
bien0 by en0
byen0 by en0
bieng by eng
byeng by eng
bier by er
byer by er
bi by i
byi by i
bin by in
byin by in
bing by ing
bying by ing
bio by o
byo by o
biong by ong
byong by ong
biou by ou
byou by ou
biu by u
byu by u
biv0 by v0
byv0 by v0
bivn by vn
byvn by vn
bua bw a
bwa bw a
buai bw ai
bwai bw ai
buan bw an
bwan bw an
buang bw ang
bwang bw ang
buao bw ao
bwao bw ao
bue bw e
bwe bw e
bue0 bw e0
bwe0 bw e0
buei bw ei
bwei bw ei
buen bw en
bwen bw en
buen0 bw en0
bwen0 bw en0
bueng bw eng
bweng bw eng
buer bw er
bwer bw er
bui bw i
bwi bw i
buin bw in
bwin bw in
buing bw ing
bwing bw ing
bo bw o
buo bw o
bwo bw o
buong bw ong
bwong bw ong
buou bw ou
bwou bw ou
bu bw u
buu bw u
bwu bw u
buv0 bw v0
bwv0 bw v0
buvn bw vn
bwvn bw vn
pa p a
pai p ai
pan p an
pang p ang
pao p ao
pe p e
pe0 p e0
pei p ei
pen p en
pen0 p en0
peng p eng
per p er
pong p ong
pou p ou
pv0 p v0
pvn p vn
pia py a
pya py a
pyai py ai
pyan py an
piang py ang
pyang py ang
piao py ao
pyao py ao
pye py e
pie py e0
pie0 py e0
pye0 py e0
pyei py ei
pien py en
pyen py en
pian py en0
pien0 py en0
pyen0 py en0
pieng py eng
pyeng py eng
pier py er
pyer py er
pi py i
pyi py i
pin py in
pyin py in
ping py ing
pying py ing
pio py o
pyo py o
piong py ong
pyong py ong
piou py ou
pyou py ou
piu py u
pyu py u
piv0 py v0
pyv0 py v0
pivn py vn
pyvn py vn
pua pw a
pwa pw a
puai pw ai
pwai pw ai
puan pw an
pwan pw an
puang pw ang
pwang pw ang
puao pw ao
pwao pw ao
pue pw e
pwe pw e
pue0 pw e0
pwe0 pw e0
puei pw ei
pwei pw ei
puen pw en
pwen pw en
puen0 pw en0
pwen0 pw en0
pueng pw eng
pweng pw eng
puer pw er
pwer pw er
pui pw i
pwi pw i
puin pw in
pwin pw in
puing pw ing
pwing pw ing
po pw o
puo pw o
pwo pw o
puong pw ong
pwong pw ong
puou pw ou
pwou pw ou
pu pw u
puu pw u
pwu pw u
puv0 pw v0
pwv0 pw v0
puvn pw vn
pwvn pw vn
ma m a
mai m ai
man m an
mang m ang
mao m ao
me m e
me0 m e0
mei m ei
men m en
men0 m en0
meng m eng
mer m er
mong m ong
mou m ou
mv0 m v0
mvn m vn
mia my a
mya my a
myai my ai
myan my an
miang my ang
myang my ang
miao my ao
myao my ao
mye my e
mie my e0
mie0 my e0
mye0 my e0
myei my ei
mien my en
myen my en
mian my en0
mien0 my en0
myen0 my en0
mieng my eng
myeng my eng
mier my er
myer my er
mi my i
myi my i
min my in
myin my in
ming my ing
mying my ing
mio my o
myo my o
miong my ong
myong my ong
miu my ou
miou my ou
myou my ou
myu my u
miv0 my v0
myv0 my v0
mivn my vn
myvn my vn
mua mw a
mwa mw a
muai mw ai
mwai mw ai
muan mw an
mwan mw an
muang mw ang
mwang mw ang
muao mw ao
mwao mw ao
mue mw e
mwe mw e
mue0 mw e0
mwe0 mw e0
muei mw ei
mwei mw ei
muen mw en
mwen mw en
muen0 mw en0
mwen0 mw en0
mueng mw eng
mweng mw eng
muer mw er
mwer mw er
mui mw i
mwi mw i
muin mw in
mwin mw in
muing mw ing
mwing mw ing
mo mw o
muo mw o
mwo mw o
muong mw ong
mwong mw ong
muou mw ou
mwou mw ou
mu mw u
muu mw u
mwu mw u
muv0 mw v0
mwv0 mw v0
muvn mw vn
mwvn mw vn
fa f a
fai f ai
fan f an
fang f ang
fao f ao
fe f e
fe0 f e0
fei f ei
fen f en
fen0 f en0
feng f eng
fer f er
fi f i
fin f in
fing f ing
fong f ong
fou f ou
fv0 f v0
fvn f vn
fua fw a
fwa fw a
fuai fw ai
fwai fw ai
fuan fw an
fwan fw an
fuang fw ang
fwang fw ang
fuao fw ao
fwao fw ao
fue fw e
fwe fw e
fue0 fw e0
fwe0 fw e0
fuei fw ei
fwei fw ei
fuen fw en
fwen fw en
